Speaker_1	Speaker_2	Personality	Utterance_1	Utterance_2	Utterance_3	Emotion_1	Emotion_2	Emotion_3	Sentiment_1	Sentiment_2	Sentiment_3
Chandler	Ross	[0.648, 0.375, 0.386, 0.58, 0.477]	Yeah.	You know, Barracuda was the first song I learned to play on the keyboard.	So, you heard it, you repeated it, so that must mean you wrote it.	neutral	neutral	neutral	neutral	neutral	neutral
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	I can t find garbage bags!	Oh, I think I saw some in here.	What is it?!	anger	neutral	surprise	negative	neutral	positive
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh, I think I saw some in here.	What is it?!	I don t know! But maybe if we keep that drawer shut, it ll die.	neutral	surprise	disgust	neutral	positive	negative
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	What is it?!	I don t know! But maybe if we keep that drawer shut, it ll die.	I can t believe we re living here!	surprise	disgust	sadness	positive	negative	negative
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	You still haven t told Rachel you weren t really  proposing?	No! She had the ring on, she seemed so excited, and then she  took her breast out.	Joey, you have to tell her what s going on! And what did it  look like?!	surprise	anger	surprise	positive	negative	positive
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	No! She had the ring on, she seemed so excited, and then she  took her breast out.	Joey, you have to tell her what s going on! And what did it  look like?!	I didn t look at it. Stupid baby s head was blocking most of  it.	anger	surprise	anger	negative	positive	negative
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Joey, you have to tell her what s going on! And what did it  look like?!	I didn t look at it. Stupid baby s head was blocking most of  it.	Go and tell Rachel right now before Ross finds out.	surprise	anger	sadness	positive	negative	negative
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	I didn t look at it. Stupid baby s head was blocking most of  it.	Go and tell Rachel right now before Ross finds out.	Look, it s not that easy. She said she wanted to marry me. I  don t want to hurt her.	anger	sadness	sadness	negative	negative	negative
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Go and tell Rachel right now before Ross finds out.	Look, it s not that easy. She said she wanted to marry me. I  don t want to hurt her.	Okay, look, just do it gently.	sadness	sadness	neutral	negative	negative	neutral
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Look, it s not that easy. She said she wanted to marry me. I  don t want to hurt her.	Okay, look, just do it gently.	You re right.	sadness	neutral	neutral	negative	neutral	neutral
Rachel	The Teacher	[0.635, 0.354, 0.521, 0.552, 0.469]	Umm, well I would have to say that it's a, it's tragic love story.	Well, that's sort of a given, but yes. Anyone else?	Oh-oh-oh, symbolism! And uh, the-the uh, wildness of the mores, which	neutral	neutral	joy	neutral	neutral	positive
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	You completely stole my answer!	Well, honey that was pretty obvious.	Well how would you know?! You didn't even read it!	anger	sadness	anger	negative	negative	negative
Phoebe	The Teacher	[0.6, 0.48, 0.31, 0.46, 0.56]	Well how would you know?! You didn't even read it!	What do you think? You in the blue shirt.	I think that uh, yours is a question with many answers.	anger	neutral	neutral	negative	neutral	neutral
Phoebe	The Teacher	[0.6, 0.48, 0.31, 0.46, 0.56]	I think that uh, yours is a question with many answers.	Would ya care to venture one?	Would	neutral	neutral	neutral	neutral	neutral	neutral
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Oh my God! Joey!	Hell yeah! I ll marry you!	You can t marry him!	surprise	joy	anger	positive	positive	negative
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Hell yeah! I ll marry you!	You can t marry him!	Hey lady, your day s over! It s my turn!	joy	anger	anger	positive	negative	negative
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	You can t marry him!	Hey lady, your day s over! It s my turn!	Phoebe!	anger	anger	surprise	negative	negative	positive
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Hey!	Phoebe I think he would notice if you didn t have a baby in nine months!	It s Joey!	anger	anger	surprise	negative	negative	positive
Phoebe	Joey	[0.6, 0.48, 0.31, 0.46, 0.56]	It s Joey!	Now I can t believe it! What? Rachel s pregnant?  Who s the father?	We don t know.	surprise	surprise	neutral	positive	positive	neutral
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	Now I can t believe it! What? Rachel s pregnant?  Who s the father?	We don t know.	Ohh  I wonder if that dude.	surprise	neutral	neutral	positive	neutral	neutral
Joey	Monica	[0.574, 0.614, 0.297, 0.545, 0.455]	Ohh  I wonder if that dude.	There s a dude?	Yeah.	neutral	surprise	neutral	neutral	positive	neutral
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	Yeah.	Who? Who is it?	About a month ago this guy spent the night with Rachel, I didn t see who it was but	neutral	surprise	disgust	neutral	positive	negative
Phoebe	Joey	[0.6, 0.48, 0.31, 0.46, 0.56]	Who? Who is it?	About a month ago this guy spent the night with Rachel, I didn t see who it was but	Was that story over?	surprise	disgust	neutral	positive	negative	neutral
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	About a month ago this guy spent the night with Rachel, I didn t see who it was but	Was that story over?	The guy left this.	disgust	neutral	neutral	negative	neutral	neutral
Phoebe	Joey	[0.6, 0.48, 0.31, 0.46, 0.56]	Was that story over?	The guy left this.	Oh my God! I know who the father is	neutral	neutral	surprise	neutral	neutral	positive
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Ohh, let me see it! Let me see your hand!	Why do you want to see my hand?	I wanna see what s in your hand. I wanna see the trash.	surprise	neutral	disgust	positive	neutral	negative
Ross	Monica	[0.722, 0.489, 0.6, 0.533, 0.356]	No!	Me too!	Hey, when the music starts up again, I was thinking of maybe goind into the robot, y know?	anger	joy	neutral	negative	positive	neutral
Monica	Ross	[0.713, 0.457, 0.457, 0.66, 0.511]	Me too!	Hey, when the music starts up again, I was thinking of maybe goind into the robot, y know?	Ross, I think we should stick to the routine, we don t wanna look stupid!	joy	neutral	joy	positive	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	I totally forgot about tonight and the fact that we re supposed to	Oh, it s okay. I don t	No-no, it s not okay!	neutral	neutral	sadness	neutral	neutral	negative
Rachel	Mark	[0.635, 0.354, 0.521, 0.552, 0.469]	No.  And then I called him, and he wasn t there.	Well, then he s, he s probably just, out.	Oh, thank you that s very helpful, I m glad you came over.	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Hello.	Hi! It s me.	Hi! Oh, I m so glad you called.	neutral	sadness	joy	neutral	negative	positive
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Hi! It s me.	Hi! Oh, I m so glad you called.	Really? I ve been thinking, this is crazy, I mean don t, don t you think we can work on this?	sadness	joy	sadness	negative	positive	negative
Ross	Mark	[0.722, 0.489, 0.6, 0.533, 0.356]	Really? I ve been thinking, this is crazy, I mean don t, don t you think we can work on this?	Hey, what do you want to drink?	Who s that?	sadness	neutral	surprise	negative	neutral	positive
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Is that Mark?	Umm, honey, look he just came over to....	Yeah! Got it!	neutral	neutral	anger	neutral	neutral	negative
Ross	Chloe	[0.722, 0.489, 0.6, 0.533, 0.356]	Yeah! Got it!	Hey, dinosaur guy, look at you, so sad. Come dance.	Ah, that s okay, thanks.	anger	neutral	sadness	negative	neutral	negative
Ross	Chloe	[0.722, 0.489, 0.6, 0.533, 0.356]	Ah, that s okay, thanks.	Hey, you don t have to smile. You just have to dance.	Look, I don t feel like dancing, I feel like having a drink. Okay?	sadness	neutral	sadness	negative	neutral	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	You wanna go in the bedroom? It s a little more comfortable.	Sure.	Okay.  Oh wait! Umm, did you send those contracts to Milan?	neutral	neutral	surprise	neutral	neutral	positive
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	Okay.  Oh wait! Umm, did you send those contracts to Milan?	If this is your idea of sexy talk?	No seriously, y know the contracts I gave you, did you overnight them?	surprise	surprise	fear	positive	positive	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	No seriously, y know the contracts I gave you, did you overnight them?	What contracts?	Okay please tell me that this is just one of your jokes that you do that I don t get.	fear	neutral	joy	negative	neutral	positive
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	Okay please tell me that this is just one of your jokes that you do that I don t get.	Like what?	Y know, like the thing when you put the phone in your pants?	joy	neutral	disgust	positive	neutral	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	Those contracts absolutely had to go out today!	Rach, I m sorry, but you didn t give me any contracts!	Yes I did! And I put a little	anger	surprise	anger	negative	positive	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	Yes I did! And I put a little	I m telling you, you never gave them to me.	Y know what Tag, if we went down to the office you would see those contracts sitting on your desk.	anger	neutral	anger	negative	neutral	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	Y know what Tag, if we went down to the office you would see those contracts sitting on your desk.	No, I would see you looking embarrassed because they are	Or maybe you would see me looking embarrassed because you are talking on the phone with your crotch!	anger	anger	disgust	negative	negative	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	Or maybe you would see me looking embarrassed because you are talking on the phone with your crotch!	You wanna go down to the office right now?	No! Come on its late, we re not gonna go down to the office.	disgust	neutral	anger	negative	neutral	negative
Rachel	Tag	[0.635, 0.354, 0.521, 0.552, 0.469]	No! Come on its late, we re not gonna go down to the office.	Okay I understand.  I wouldn t want to be proved wrong either.	Okay get your coat!  Oh! When did you unhook this?  Nice work!	anger	neutral	joy	negative	neutral	positive
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh and I need to talk to you.	About what?	To see if know what these guys are talking about.	neutral	neutral	neutral	neutral	neutral	neutral
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Pheebs, how s it going?	I m doing okay. I think it s going well. Do you think they re having fun? Am I talking to fast?	Nope, sound like me. Pheebs, it s going great. Look at Chandler with little baby girl Chandler.	neutral	neutral	joy	neutral	neutral	positive
Chandler	Phoebe	[0.648, 0.375, 0.386, 0.58, 0.477]	When you re done over there, we kinda have a situation over here too.	Na-uh, no, we are all responsible for our own babies.	See that s where I think that you re wrong. We ve been playing these babies man for man. we should really be playing a zone defense.	fear	neutral	neutral	negative	neutral	neutral
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	Forgive me? You haven't been taking my calls in a week!	Well, I'm totally over it Chandler. Friends forever! Don't come out here!	Uh, what was that?	anger	anger	surprise	negative	negative	positive
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Well, I'm totally over it Chandler. Friends forever! Don't come out here!	Uh, what was that?	Uh,	anger	surprise	neutral	negative	positive	neutral
Phoebe	All	[0.6, 0.48, 0.31, 0.46, 0.56]	Hi!	Hey, Phoebe.	Hey, oh, you know that guy who's been following me? I talked to him today.	joy	neutral	neutral	positive	neutral	neutral
Joey	Female Clerk	[0.574, 0.614, 0.297, 0.545, 0.455]	Uh yeah, where-where s the guy who decides who s pictures go up on the wall?	He s not here right now.	Oh, you re kidding me!	neutral	neutral	anger	neutral	neutral	negative
Joey	Female Clerk	[0.574, 0.614, 0.297, 0.545, 0.455]	I m an actor. I m kinda getting my picture up there on the wall.	Y know, there are two people who could put your picture up there.	Oh really? Well, maybe you and I go out for drinks?  You re the other one right?	neutral	neutral	neutral	neutral	neutral	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Yeah, and it really freaked me out! And after a while I even tried to hurt you and it just spurred you on.	What?! You re crazy! There s nothing sexual about the noises I make!	There s nothing sexual about this?	sadness	surprise	anger	negative	positive	negative
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	I mean hi.	Oh my This is so embarrassing. Oh my God, I m never gonna get massaged again!	No, you can t let this stop you from getting massages!	neutral	fear	sadness	neutral	negative	negative
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	No look, I have, I have lots of clients that make the same noises you do!	Really?!	Well not clients, lovers. But let s just y know, try it again. Come back and-and we ll work through it.	neutral	surprise	neutral	neutral	positive	neutral
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Really?!	Well not clients, lovers. But let s just y know, try it again. Come back and-and we ll work through it.	Are you sure?	surprise	neutral	surprise	positive	neutral	positive
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Well not clients, lovers. But let s just y know, try it again. Come back and-and we ll work through it.	Are you sure?	Yes.	neutral	surprise	neutral	neutral	positive	neutral
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Are you sure?	Yes.	I guess.	surprise	neutral	neutral	positive	neutral	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Yes.	I guess.	Great! Okay, if you ll just excuse me.  So, did you hear something you liked?	neutral	neutral	joy	neutral	neutral	positive
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Ezel? Ezel? Ezel?	Hey Ross! Listen, do you want to go see that new Imax movie on tide pools?	Really?!	surprise	joy	surprise	positive	positive	positive
Joey	Ross	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey Ross! Listen, do you want to go see that new Imax movie on tide pools?	Really?!	No. But I got Knicks tickets for you, me, and Chandler.	joy	surprise	neutral	positive	positive	neutral
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Really?!	No. But I got Knicks tickets for you, me, and Chandler.	Sweet!	surprise	neutral	joy	positive	neutral	positive
Joey	Ross	[0.574, 0.614, 0.297, 0.545, 0.455]	No. But I got Knicks tickets for you, me, and Chandler.	Sweet!	All right, well finish your coffee; let s go.	neutral	joy	neutral	neutral	positive	neutral
Chandler	Ross	[0.648, 0.375, 0.386, 0.58, 0.477]	Ah, no-no-no just Ross. Ross and Joey is embarrassing enough.	Uh actually, sorry I can t even make it. I m seeing Mona again tonight.	I understand: who would cancel an actual date to go to a fake bachelor party?	disgust	neutral	neutral	negative	neutral	neutral
Ross	Chandler	[0.722, 0.489, 0.6, 0.533, 0.356]	Peach pit.	Yes, Bunny?	Peach pit. That night we, uh- we had-	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Peach pit. That night we, uh- we had-	-Peaches?	Actually, nectarines, but basically...	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Chandler	[0.722, 0.489, 0.6, 0.533, 0.356]	Actually, nectarines, but basically...	Could've been a peach.	Then, uh, then we got dressed, and I-I... I walked her to the-  -the bus stop... I'm fine.	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	What do you think of the Abbey, Chandler?	I think it s great. It s great. Y know, they re thinking of changing the name of this place.	Really? To what?	neutral	neutral	surprise	neutral	neutral	positive
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	I think it s great. It s great. Y know, they re thinking of changing the name of this place.	Really? To what?	To Put the Camera Away!!!	neutral	surprise	anger	neutral	positive	negative
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Really? To what?	To Put the Camera Away!!!	Man,	surprise	anger	neutral	positive	negative	neutral
Chandler	Rachel	[0.648, 0.375, 0.386, 0.58, 0.477]	Y'know, I can't believe I'm getting my nails done!  And	Chandler, there s a guy right over there.	That s a mailman! That s	surprise	neutral	surprise	positive	neutral	positive
Rachel	Chandler	[0.635, 0.354, 0.521, 0.552, 0.469]	Chandler, there s a guy right over there.	That s a mailman! That s	Chandler, don t worry! This doesn t make you any less of a guy!	neutral	surprise	neutral	neutral	positive	neutral
Chandler	Rachel	[0.648, 0.375, 0.386, 0.58, 0.477]	That s a mailman! That s	Chandler, don t worry! This doesn t make you any less of a guy!	Hey, you know who used to have nails like that?	surprise	neutral	neutral	positive	neutral	neutral
Chandler	Rachel	[0.648, 0.375, 0.386, 0.58, 0.477]	Eh..., I don t, I don t know.	What?	Well, as old as he is in dog years, do you think Snoopy should still be allowed to fly this thing?	sadness	neutral	sadness	negative	neutral	negative
Rachel	Gunther	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah.	Do you remember when you first came here, how you spent two weeks getting trained by another waitress?	Oh, sure! Do you need me to train somebody new?	neutral	neutral	joy	neutral	neutral	positive
Rachel	Gunther	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh, sure! Do you need me to train somebody new?	Good one. Actually, ah, Terry wants you to take the training again, whenever.	Eh, do you believe that?	joy	neutral	surprise	positive	neutral	positive
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Hey honey, you got the kind with the little girl, you said we were gonna to get the kind with the baby.	No, you said the baby creeps you out.	No, the little girl creeps me out.	anger	neutral	anger	negative	neutral	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	No, you said the baby creeps you out.	No, the little girl creeps me out.	You said the baby.	neutral	anger	neutral	neutral	negative	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	No, the little girl creeps me out.	You said the baby.	Why would the baby creep me out?	anger	neutral	anger	negative	neutral	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	You said the baby.	Why would the baby creep me out?	Why would the little girl creep you out?	neutral	anger	anger	neutral	negative	negative
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	You guys, I m sorry, could you please talk a little slower?	This is going in your book?	Yeah, it s about relationships. Y know? The traps, the pitfalls, what not to do, keep going. This stuff is great!	neutral	surprise	joy	neutral	positive	positive
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	Yeah, it s about relationships. Y know? The traps, the pitfalls, what not to do, keep going. This stuff is great!	What?! Excuse me!	And how none of it matters when the people really love each other.	joy	surprise	neutral	positive	positive	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	So I moved everything around and then I forgot where it, where it went back and I'm sorry, I'm very sorry, I'm sorry, I'm sorry.	It's okay. Chandler, are you afraid of me or something?	Do you want me to be afraid of you?	sadness	neutral	neutral	negative	neutral	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	It's okay. Chandler, are you afraid of me or something?	Do you want me to be afraid of you?	Of course not.	neutral	neutral	neutral	neutral	neutral	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	I know I have this weird thing where I want everything to be in the perfect place, but I'd never expect you to worry about that.	Really?	Of course!	joy	surprise	neutral	positive	positive	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Really?	Of course!	Oh well you're the best. You come here to me.	surprise	neutral	joy	positive	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Of course!	Oh well you're the best. You come here to me.	All right, hold on okay? First thing's first.  Okay, now did Ross sit	neutral	joy	neutral	neutral	positive	neutral
Phoebe	The Fan	[0.6, 0.48, 0.31, 0.46, 0.56]	Yeah?	Are you Phoebe Buffay?	Yeah.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Joey	[0.722, 0.489, 0.6, 0.533, 0.356]	Ah...ooh! Well, looks like, uh, we kicked your butts.	No-no, she kicked our butts. You could be on the Olympic standing-there team.	Come on, two on one.	joy	anger	neutral	positive	negative	neutral
Ross	Chandler	[0.722, 0.489, 0.6, 0.533, 0.356]	Come on, two on one.	What are you still doing here? She just broke up with the guy, it's time for you to swoop in!	What, now?	neutral	surprise	surprise	neutral	positive	positive
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	Well, I just called Joshua	Oh, how did it go?	Well, I did my best to convince him that I m not some crazy girl who is dying to get married I m just going through a hard time.	neutral	sadness	neutral	neutral	negative	neutral
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh, how did it go?	Well, I did my best to convince him that I m not some crazy girl who is dying to get married I m just going through a hard time.	What did he say?	sadness	neutral	neutral	negative	neutral	neutral
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	Well, I did my best to convince him that I m not some crazy girl who is dying to get married I m just going through a hard time.	What did he say?	Well uh, his answering machine was	neutral	neutral	sadness	neutral	neutral	negative
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Well uh, his answering machine was	Ohh, sweetie!  Hey, I bet you anything that he s gonna call you again.	Yeah, maybe, but I don t think I even care.	sadness	sadness	sadness	negative	negative	negative
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	Y know, I know that I said that I am totally okay with Ross getting married, but as it turns out, I don t think I m handling it all that well.	Yeah, maybe.	And I-I am just trying to figure out why.	sadness	sadness	sadness	negative	negative	negative
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	Yeah, maybe.	And I-I am just trying to figure out why.	Any luck?	sadness	sadness	sadness	negative	negative	negative
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	And I-I am just trying to figure out why.	Any luck?	Well, yeah, y know how Ross and I were on again, off again, on again, off again?	sadness	sadness	sadness	negative	negative	negative
Joey	Guy	[0.574, 0.614, 0.297, 0.545, 0.455]	This is the unit for you my friend. Sturdy construction, tons of storage compartments, some big enough to fit a grown man.	What?!	Oh yeah!	neutral	surprise	joy	neutral	positive	positive
Joey	Guy	[0.574, 0.614, 0.297, 0.545, 0.455]	It was funny  til I started feeling like I was in a coffin.	No, you, you can t fit in that thing. That s not deep enough.	Oh yeah?  If I can t, I ll knock five bucks off the price off the unit.	neutral	neutral	anger	neutral	neutral	negative
Joey	Guy	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh yeah?  If I can t, I ll knock five bucks off the price off the unit.	All right, you have yourself a deal.	Okay.  See?! I told ya!	anger	neutral	surprise	negative	neutral	positive
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey! What s up?	Hey!	Hey-hey, who s your friend?  Hey!!	neutral	joy	joy	neutral	positive	positive
Joey	Erin	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey-hey, who s your friend?  Hey!!	Hey Joey!	Erin! Still here!	joy	joy	joy	positive	positive	positive
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	Erin! Still here!	Yeah, we ended up spending the day together and had such a great time!	Why wouldn t ya? Erin is great! Then-then there s you guys.	joy	joy	joy	positive	positive	positive
Rachel	Bonnie	[0.635, 0.354, 0.521, 0.552, 0.469]	Y'know, I gotta tell ya, I just	Really?!	Ohh!	neutral	surprise	surprise	neutral	positive	positive
Rachel	Bonnie	[0.635, 0.354, 0.521, 0.552, 0.469]	Ohh!	Because I think about shaving it all off again sometime.	Really?!	surprise	neutral	surprise	positive	neutral	positive
Rachel	Bonnie	[0.635, 0.354, 0.521, 0.552, 0.469]	Really?!	Yeah!	I mean you definitely should do that.	surprise	joy	neutral	positive	positive	neutral
Rachel	Bonnie	[0.635, 0.354, 0.521, 0.552, 0.469]	I mean you definitely should do that.	Y'know what, I should do it.	Yeah!	neutral	joy	joy	neutral	positive	positive
Rachel	Bonnie	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah!	Yeah, thank you Rachel, you are soo cool.	Awww, stop. Come on. Now go shave that head!	joy	joy	neutral	positive	positive	neutral
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh, Monica. You are not still going over that thing.	This woman's living my life.	What?	sadness	anger	surprise	negative	negative	positive
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	This woman's living my life.	What?	She's living my life, and she's doing it better than me!	anger	surprise	anger	negative	positive	negative
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	She spent three hundred dollars on art supplies.	You're not an artist.	Yeah, well I might be if I had the supplies! I mean, I could do all this stuff. Only I don't.	anger	neutral	anger	negative	neutral	negative
Ross	Monica	[0.722, 0.489, 0.6, 0.533, 0.356]	I don't know, you don't wanna mess with corn nuts. They're craaazy.	Oh my God. You guys! You gotta come see this! There's some creep out there with a telescope!	I can't believe it! He's looking right at us!	neutral	fear	surprise	neutral	negative	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah, it is amazing it lasted that long.	I know. My arm is killing me.	No, I meant with the dropper over here.	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	What s the matter?	Nothing.	What is it? Hey!	neutral	neutral	sadness	neutral	neutral	negative
Rachel	Joey	[0.635, 0.354, 0.521, 0.552, 0.469]	Nothing.	What is it? Hey!	Really it s nothing. I m just	neutral	sadness	sadness	neutral	negative	negative
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	What is it? Hey!	Really it s nothing. I m just	Rach come on, what?	sadness	sadness	neutral	negative	negative	neutral
Rachel	Joey	[0.635, 0.354, 0.521, 0.552, 0.469]	Really it s nothing. I m just	Rach come on, what?	I ve just been thinking about how my baby and I are gonna be all alone.	sadness	neutral	sadness	negative	neutral	negative
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	Rach come on, what?	I ve just been thinking about how my baby and I are gonna be all alone.	What are you talking about alone? What about Ross?	neutral	sadness	surprise	neutral	negative	positive
Rachel	Joey	[0.635, 0.354, 0.521, 0.552, 0.469]	I ve just been thinking about how my baby and I are gonna be all alone.	What are you talking about alone? What about Ross?	Oh please, he ll be with his real family, the twins and little miss new boobs.	sadness	surprise	sadness	negative	positive	negative
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	What are you talking about alone? What about Ross?	Oh please, he ll be with his real family, the twins and little miss new boobs.	Okay, how long was I watching that woman?	surprise	sadness	neutral	positive	negative	neutral
Rachel	Joey	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh please, he ll be with his real family, the twins and little miss new boobs.	Okay, how long was I watching that woman?	I m just saying that y know, someday Ross is gonna meet somebody and he s gonna have his own life. Right?	sadness	neutral	sadness	negative	neutral	negative
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	Okay, how long was I watching that woman?	I m just saying that y know, someday Ross is gonna meet somebody and he s gonna have his own life. Right?	Yeah, I guess so.	neutral	sadness	neutral	neutral	negative	neutral
Rachel	Joey	[0.635, 0.354, 0.521, 0.552, 0.469]	I m just saying that y know, someday Ross is gonna meet somebody and he s gonna have his own life. Right?	Yeah, I guess so.	I just never thought I would raise this baby all by myself. Pretty dumb huh?	sadness	neutral	sadness	negative	neutral	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Chandler, we said we would meet at the coffeehouse at six.	We said seven!	We said six!	anger	anger	anger	negative	negative	negative
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	We said seven!	We said six!	The only way that I said six would be if the seven s, let meet at seven, not at six.	anger	anger	neutral	negative	negative	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	We said six!	The only way that I said six would be if the seven s, let meet at seven, not at six.	"Yeah and if I had seven, maybe I would ve said something like this, ""Wow! My boyfriend s such a wise ass seven!"""	anger	neutral	anger	negative	neutral	negative
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	Hi!	Oh my good God.	I know what time you said.	joy	disgust	joy	positive	negative	positive
Chandler	Phoebe	[0.648, 0.375, 0.386, 0.58, 0.477]	Oh my good God.	I know what time you said.	What?!	disgust	joy	surprise	negative	positive	positive
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	I know what time you said.	What?!	Well actually, I know what time Chester and Marcia said.	joy	surprise	neutral	positive	positive	neutral
